category;integration_id;integration_name;official_status;transport_or_api;auth_pattern;who_collects_credentials;where_credentials_stored;how_openclaw_exposes_to_agent;fetch_send_mode;source_doc
channel;whatsapp;WhatsApp;core;Baileys / WhatsApp Web;QR pairing session (plus allowlists);Onboarding/CLI asks user to pair QR and set policy;~/.openclaw/credentials/whatsapp/<accountId>/creds.json;;;
channel;telegram;Telegram;core;Telegram Bot API (grammY);Bot token;Onboarding/CLI/config/env (BotFather token);Config/env or channels.telegram.tokenFile;Agent does not receive raw secrets;;
channel;discord;Discord;core or plugin package;Discord Bot API + Gateway;Bot token;Onboarding/CLI/config/env;Config/env (tokenFile not yet supported);Agent does not receive raw secrets;;
channel;slack;Slack;core;Slack Bolt + API;Slack bot/app tokens (workspace app);Onboarding/CLI/config/env;Config/env (channels.slack.*);Agent does not receive raw secrets;;
channel;feishu;Feishu (Lark);plugin;Feishu WebSocket event subscription;App credentials;User configures plugin/channel settings;Typically channel config/env in state dir;Agent does not receive raw secrets;;
channel;googlechat;Google Chat;core/plugin-enabled;Google Chat API app + webhook;Service account JSON + audience/webhook settings;Onboarding/CLI/config;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;mattermost;Mattermost;plugin;Mattermost Bot API + WebSocket;Bot token + server/base URL;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;signal;Signal;core;signal-cli bridge;Signal account + signal-cli setup;Wizard can install signal-cli;;;;
channel;bluebubbles;BlueBubbles;plugin package;BlueBubbles macOS server REST/WebSocket;Server URL/password/API creds;User configures BlueBubbles + plugin settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;imessage;iMessage (legacy);core (deprecated);imsg CLI + Messages DB;macOS local access (no remote API token);User installs imsg and grants macOS permissions;channels.imessage.cliPath/dbPath in config;;;
channel;msteams;Microsoft Teams;plugin;Microsoft Bot Framework;Bot app credentials;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;line;LINE;plugin;LINE Messaging API;Channel access token + channel secret;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;nextcloud-talk;Nextcloud Talk;plugin package;Nextcloud Talk bot webhook;botSecret + baseUrl;User creates Nextcloud bot and configures secret;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;matrix;Matrix;plugin package;Matrix client-server API;Access token or password login;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;nostr;Nostr;plugin package;Nostr relays (NIP-04 DMs);Nostr key material;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;tlon;Tlon (Urbit);plugin;Urbit/Tlon API;Ship URL + login code;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;twitch;Twitch;plugin;Twitch IRC;OAuth token / bot account creds;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;zalo;Zalo Bot API;plugin package;Zalo Bot API;App credentials/token;User configures plugin/channel settings;Channel config/env in state dir;Agent does not receive raw secrets;;
channel;zalouser;Zalo Personal;plugin package;zca-cli / personal account bridge;QR login + local session;User logs in via plugin flow;Plugin/session files in state dir + zca local state;Agent does not receive raw secrets;;
channel;webchat;WebChat;core;Gateway WebSocket UI;Gateway auth token/password;User sets gateway auth (wizard auto-generates token by default);~/.openclaw/openclaw.json (+ ~/.openclaw/.env) (gateway.auth.*);Agent does not receive raw secrets;;
model_provider;openai;OpenAI;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;anthropic;Anthropic;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key or Claude setup-token;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;openai-codex;OpenAI Code (Codex);built-in;LLM provider API (native or OpenAI/Anthropic-compatible);OAuth login;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;opencode;OpenCode Zen;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;google;Google Gemini (API);built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;google-vertex;Google Vertex;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);ADC / gcloud auth;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;google-antigravity;Google Antigravity;built-in + bundled auth plugin;LLM provider API (native or OpenAI/Anthropic-compatible);OAuth login;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;google-gemini-cli;Google Gemini CLI;built-in + bundled auth plugin;LLM provider API (native or OpenAI/Anthropic-compatible);OAuth login;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;zai;Z.AI (GLM);built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;vercel-ai-gateway;Vercel AI Gateway;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;openrouter;OpenRouter;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;xai;xAI;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;groq;Groq;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;cerebras;Cerebras;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;mistral;Mistral;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;github-copilot;GitHub Copilot;built-in;LLM provider API (native or OpenAI/Anthropic-compatible);token;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;moonshot;Moonshot (Kimi);custom via models.providers;LLM provider API (native or OpenAI/Anthropic-compatible);API key + custom baseUrl;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;kimi-coding;Kimi Coding;custom via models.providers;LLM provider API (native or OpenAI/Anthropic-compatible);API key + Anthropic-compatible endpoint;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;qwen-portal;Qwen Portal;bundled auth plugin;LLM provider API (native or OpenAI/Anthropic-compatible);OAuth device-code flow;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;synthetic;Synthetic;custom via models.providers;LLM provider API (native or OpenAI/Anthropic-compatible);API key + Anthropic-compatible endpoint;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;minimax;MiniMax;custom via models.providers;LLM provider API (native or OpenAI/Anthropic-compatible);API key;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;ollama;Ollama;built-in local;LLM provider API (native or OpenAI/Anthropic-compatible);no key (local server);openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;lmstudio/vllm/litellm;Local proxies (LM Studio/vLLM/LiteLLM…);custom via models.providers;LLM provider API (native or OpenAI/Anthropic-compatible);custom key/baseUrl;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;bedrock;Amazon Bedrock;provider docs page;LLM provider API (native or OpenAI/Anthropic-compatible);AWS auth;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;qianfan;Qianfan;provider docs page;LLM provider API (native or OpenAI/Anthropic-compatible);provider auth;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;minimax-cloud;MiniMax (provider page in docs nav);provider docs page;LLM provider API (native or OpenAI/Anthropic-compatible);provider auth;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
model_provider;glm-models;GLM Models (provider page in docs nav);provider docs page;LLM provider API (native or OpenAI/Anthropic-compatible);provider auth;openclaw onboard / openclaw models auth / env-config (user-driven CLI flow);API keys in config/env (~/.openclaw/openclaw.json (+ ~/.openclaw/.env));;;
plugin_package;@openclaw/bluebubbles;BlueBubbles channel plugin;published npm plugin (@openclaw/*);channel plugin;depends on plugin;plugin-specific setup flow (CLI/config/onboarding);plugin config under ~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw);Plugin registers channel/tools/hooks;;
plugin_package;@openclaw/diagnostics-otel;Diagnostics OpenTelemetry plugin;published npm plugin (@openclaw/*);ops/observability;depends on plugin;plugin-specific setup flow (CLI/config/onboarding);plugin config under ~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw);Plugin registers channel/tools/hooks;;
plugin_package;@openclaw/discord;Discord plugin package;published npm plugin (@openclaw/*);channel plugin;depends on plugin;plugin-specific setup flow (CLI/config/onboarding);plugin config under ~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw);Plugin registers channel/tools/hooks;;
plugin_package;@openclaw/feishu;Feishu plugin package;published npm plugin (@openclaw/*);channel plugin;depends on plugin;plugin-specific setup flow (CLI/config/onboarding);plugin config under ~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw);Plugin registers channel/tools/hooks;;
plugin_package;@openclaw/lobster;Lobster plugin;published npm plugin (@openclaw/*);core extension;depends on plugin;plugin-specific setup flow (CLI/config/onboarding);plugin config under ~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw);Plugin registers channel/tools/hooks;;
plugin_package;@openclaw/matrix;Matrix plugin package;published npm plugin (@openclaw/*);channel plugin;depends on plugin;plugin-specific setup flow (CLI/config/onboarding);plugin config under ~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw);Plugin registers channel/tools/hooks;;
plugin_package;@openclaw/msteams;MS Teams plugin package;published npm plugin (@openclaw/*);channel plugin;depends on plugin;plugin-specific setup flow (CLI/config/onboarding);plugin config under ~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw);Plugin registers channel/tools/hooks;;
plugin_package;@openclaw/nextcloud-talk;Nextcloud Talk plugin package;published npm plugin (@openclaw/*);channel plugin;depends on plugin;plugin-specific setup flow (CLI/config/onboarding);plugin config under ~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw);Plugin registers channel/tools/hooks;;
plugin_package;@openclaw/nostr;Nostr plugin package;published npm plugin (@openclaw/*);channel plugin;depends on plugin;plugin-specific setup flow (CLI/config/onboarding);plugin config under ~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw);Plugin registers channel/tools/hooks;;
plugin_package;@openclaw/voice-call;Voice-call plugin package;published npm plugin (@openclaw/*);tooling plugin;depends on plugin;plugin-specific setup flow (CLI/config/onboarding);plugin config under ~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw);Plugin registers channel/tools/hooks;;
plugin_package;@openclaw/zalo;Zalo plugin package;published npm plugin (@openclaw/*);channel plugin;depends on plugin;plugin-specific setup flow (CLI/config/onboarding);plugin config under ~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw);Plugin registers channel/tools/hooks;;
plugin_package;@openclaw/zalouser;Zalo Personal plugin package;published npm plugin (@openclaw/*);channel plugin;depends on plugin;plugin-specific setup flow (CLI/config/onboarding);plugin config under ~/.openclaw/openclaw.json (+ ~/.openclaw/.env) and/or plugin state under $OPENCLAW_STATE_DIR (default ~/.openclaw);Plugin registers channel/tools/hooks;;
backend_skill;gog;Google Workspace CLI (Gmail/Calendar/Drive/Docs/Sheets/Contacts);skill;Google APIs (Gmail/Drive/Docs/Sheets/Calendar/People);OAuth2 (managed by gog internally);User runs gog auth add;~/.config/gog/ (gog's own token store);Agent invokes CLI via exec;Read+Write;skills/gog/SKILL.md
backend_skill;himalaya;IMAP/SMTP email CLI;skill;IMAP/SMTP protocols;IMAP password/OAuth/keyring (managed by himalaya);User configures himalaya config;~/.config/himalaya/ (himalaya's own config);Agent invokes CLI via exec;Read+Write;skills/himalaya/SKILL.md
backend_skill;imsg;iMessage/SMS CLI;skill;macOS Messages framework;macOS local access (no remote API);User installs imsg + grants permissions;Local macOS;Agent invokes CLI via exec;Read+Write;skills/imsg/SKILL.md
backend_skill;wacli;WhatsApp CLI;skill;WhatsApp Web protocol;QR login (stores auth locally);User runs QR pairing;~/.wacli/;Agent invokes CLI via exec;Read+Write;skills/wacli/SKILL.md
backend_skill;discord-cli;Discord actions CLI;skill;Discord REST API;Bot token (from channel config);Shares channel credential;Channel config;Agent invokes CLI via exec;Read+Write;skills/discord-cli/SKILL.md
backend_skill;spotify-player;Spotify player CLI;skill;Spotify Web API + Connect;Browser cookie import via spogo;User runs spogo auth import --browser chrome;spogo cookie store;Agent invokes CLI via exec;Read+Write;skills/spotify-player/SKILL.md
backend_skill;mcporter;MCP server runtime/CLI;skill;Any MCP server;Varies per MCP server;User configures per-server;Per-server config;Agent invokes CLI via exec;Read+Write;skills/mcporter/SKILL.md
backend_skill;peekaboo;macOS screenshots + AI vision;skill;macOS screen capture;macOS local access;User grants screen recording permission;Local macOS;Agent invokes CLI via exec;Read;skills/peekaboo/SKILL.md
backend_skill;camsnap;RTSP/ONVIF camera capture;skill;RTSP/ONVIF camera protocol;Per-camera URL + credentials;User configures ~/.config/camsnap/config.yaml;~/.config/camsnap/config.yaml;Agent invokes CLI via exec;Read;skills/camsnap/SKILL.md
backend_skill;oracle;Agent CLI + browser control;skill;OpenAI/Anthropic/Gemini/Grok APIs;CLI-native auth per provider;User runs oracle auth;CLI auth store;Agent invokes CLI via exec;Read+Write;skills/oracle/SKILL.md
backend_skill;eightctl;Eight Sleep smart bed CLI;skill;Eight Sleep API;Email/password;User sets EIGHTCTL_EMAIL/PASSWORD or config;~/.config/eightctl/config.yaml;Agent invokes CLI via exec;Read+Write;skills/eightctl/SKILL.md
backend_skill;sag;ElevenLabs TTS CLI;skill;ElevenLabs TTS API;API key;User sets ELEVENLABS_API_KEY or SAG_API_KEY;Env var;Agent invokes CLI via exec;Write;skills/sag/SKILL.md
backend_skill;sonos-cli;Sonos control CLI;skill;Sonos local network API;None (local network) + optional Spotify credentials;User optionally sets SPOTIFY_CLIENT_ID/SECRET;Local network + optional env;Agent invokes CLI via exec;Read+Write;skills/sonos-cli/SKILL.md
backend_skill;notion;Notion API CLI;skill;Notion REST API;API token (ntn_ or secret_);User sets NOTION_API_KEY;~/.config/notion/api_key or env;Agent invokes CLI via exec;Read+Write;skills/notion/SKILL.md
backend_skill;trello;Trello REST API;skill;Trello REST API;API key + token;User sets TRELLO_API_KEY + TRELLO_TOKEN;Env vars;Agent invokes CLI via exec;Read+Write;skills/trello/SKILL.md
backend_skill;obsidian;Obsidian vault access;skill;Local filesystem;None (local vault);User configures vault path;Local filesystem;Agent invokes CLI via exec;Read+Write;skills/obsidian/SKILL.md
backend_skill;bear-notes;Bear note-taking (macOS);skill;macOS Bear app;Local file access;User grants access;Local macOS;Agent invokes CLI via exec;Read+Write;skills/bear-notes/SKILL.md
backend_skill;apple-notes;Apple Notes (macOS);skill;macOS Notes framework;Local access;User grants access;Local macOS;Agent invokes CLI via exec;Read+Write;skills/apple-notes/SKILL.md
backend_skill;apple-reminders;Apple Reminders (macOS);skill;macOS Reminders framework;Local access;User grants access;Local macOS;Agent invokes CLI via exec;Read+Write;skills/apple-reminders/SKILL.md
backend_skill;things-mac;Things 3 task manager (macOS);skill;Things URL scheme;Local access;User has Things installed;Local macOS;Agent invokes CLI via exec;Read;skills/things-mac/SKILL.md
backend_skill;github;GitHub CLI (gh);skill;GitHub REST/GraphQL API;GitHub token (managed by gh);User runs gh auth login;gh auth store;Agent invokes CLI via exec;Read+Write;skills/github/SKILL.md
backend_skill;openai-whisper-api;OpenAI Whisper transcription;skill;OpenAI Audio API;API key;User sets OPENAI_API_KEY;Env var;Agent invokes CLI via exec;Read;skills/openai-whisper-api/SKILL.md
backend_skill;openai-image-gen;OpenAI image generation (DALL-E/GPT-Image);skill;OpenAI Images API;API key;User sets OPENAI_API_KEY;Env var;Agent invokes CLI via exec;Write;skills/openai-image-gen/SKILL.md
backend_skill;nano-banana-pro;Gemini image generation/editing;skill;Gemini API;API key;User sets GEMINI_API_KEY;Env var;Agent invokes CLI via exec;Write;skills/nano-banana-pro/SKILL.md
backend_skill;gemini;Google Gemini CLI;skill;Gemini API;Interactive auth (gemini auth setup);User runs auth setup;CLI auth store;Agent invokes CLI via exec;Read+Write;skills/gemini/SKILL.md
backend_skill;summarize;URL/PDF summarizer;skill;Multiple model APIs + Firecrawl + Apify;GEMINI/OPENAI/XAI/ANTHROPIC/FIRECRAWL/APIFY keys;User sets env vars;Env vars;Agent invokes CLI via exec;Read;skills/summarize/SKILL.md
backend_skill;gifgrep;GIF search (Tenor/Giphy);skill;Tenor/Giphy APIs;GIPHY_API_KEY (required for Giphy), TENOR_API_KEY (optional);User sets env vars;Env vars;Agent invokes CLI via exec;Read;skills/gifgrep/SKILL.md
backend_skill;openhue;Philips Hue lights CLI;skill;Philips Hue bridge API;Local bridge pairing;User runs openhue setup;Local bridge config;Agent invokes CLI via exec;Read+Write;skills/openhue/SKILL.md
backend_skill;ordercli;Food delivery (Foodora/Deliveroo);skill;Foodora/Deliveroo APIs;Email/password or bearer token + cookies;User provides credentials;CLI config + cookies;Agent invokes CLI via exec;Read+Write;skills/ordercli/SKILL.md
backend_skill;blucli;Bluesound/NAD player CLI;skill;Bluesound local network API;None (local network);None;Local network;Agent invokes CLI via exec;Read+Write;skills/blucli/SKILL.md
backend_skill;1password;1Password secret reader;skill;1Password CLI (op);Desktop app integration;User has 1Password + CLI configured;1Password vault;Agent invokes CLI via exec;Read;skills/1password/SKILL.md
backend_skill;goplaces;Google Places search;skill;Google Places API v1;API key;User sets GOOGLE_PLACES_API_KEY;Env var;Agent invokes CLI via exec;Read;skills/goplaces/SKILL.md
backend_skill;local-places;Local business search;skill;Local search;Local system;None;Local;Agent invokes CLI via exec;Read;skills/local-places/SKILL.md
backend_skill;blogwatcher;RSS/Atom feed monitor;skill;RSS/Atom feeds;None;None;None;Agent invokes CLI via exec;Read;skills/blogwatcher/SKILL.md
backend_skill;coding-agent;Coding agent (Codex/Claude/OpenCode);skill;Multiple LLM APIs;CLI-native auth per agent;User configures each agent's auth;Per-agent auth store;Agent invokes CLI via exec;Read+Write;skills/coding-agent/SKILL.md
backend_skill;nano-pdf;PDF processing;skill;Local processing;None;None;None;Agent invokes CLI via exec;Read;skills/nano-pdf/SKILL.md
backend_skill;video-frames;Video frame extraction;skill;Local processing;None;None;None;Agent invokes CLI via exec;Read;skills/video-frames/SKILL.md
backend_skill;canvas;OpenClaw Canvas;skill;Local display;None;None;None;Agent invokes CLI via exec;Write;skills/canvas/SKILL.md
agent_tool;discord-actions;Discord agent tools (42 ops);core;Discord REST API via discord.js;Bot token (from channel);Channel credential;Channel config;Single interception: send.shared.ts::resolveDiscordRest();Read+Write;src/agents/tools/discord-actions*.ts
agent_tool;slack-actions;Slack agent tools (12 ops);core;Slack Web API via @slack/web-api;Bot/user tokens (from channel);Channel credential;Channel config;Single interception: slack/client.ts::createSlackWebClient();Read+Write;src/agents/tools/slack-actions.ts
agent_tool;telegram-actions;Telegram agent tools (7 ops);core;Telegram Bot API;Bot token (from channel);Channel credential;Channel config;Per-method fetch in telegram/send.ts;Read+Write;src/agents/tools/telegram-actions.ts
agent_tool;whatsapp-actions;WhatsApp agent tools (1 op);core;WhatsApp Web protocol;Session (from channel);Channel credential;Channel config;web/outbound.js::sendReactionWhatsApp();Write;src/agents/tools/whatsapp-actions.ts
agent_tool;browser-tool;Browser automation;core;Web (Playwright/Puppeteer);None;None;None;Direct browser;Read+Write;src/agents/tools/browser-tool.ts
agent_tool;web-fetch;Web fetching (SSRF-protected);core;HTTP/HTTPS;None (+ optional FIRECRAWL_API_KEY);User sets env if needed;Env var;Direct fetch;Read;src/agents/tools/web-fetch.ts
agent_tool;exec;Arbitrary shell execution;core;Local shell;None;None;None;Direct exec;Read+Write;src/agents/tools/exec.ts
hook;gmail-hooks;Gmail push notifications + cron;core;Gmail API via gog;OAuth2 (managed by gog);User configures via gog auth;~/.config/gog/;Push via Pub/Sub + cron scheduling;Read;src/hooks/gmail*.ts
