category,integration_id,integration_name,official_status,transport_or_api,auth_pattern,who_collects_credentials,where_credentials_stored,how_openclaw_exposes_to_agent,agent_to_integration_flow,fetch_send_mode,risk_level,secret_scope,rotation_difficulty,blast_radius,recommended_hardening,risk_profile,source_doc
channel,bluebubbles,BlueBubbles,plugin package,BlueBubbles server API,server creds,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium,Provider/channel scoped access,Medium,Medium,"Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.","Level=medium; Scope=Provider/channel scoped access; Rotation=Medium; BlastRadius=Medium; Hardening=Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.",docs.openclaw.ai/channels
channel,discord,Discord,core,Discord Bot API,Bot token,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/channels
channel,feishu,Feishu,plugin,Feishu API,app credentials,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium,Provider/channel scoped access,Medium,Medium,"Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.","Level=medium; Scope=Provider/channel scoped access; Rotation=Medium; BlastRadius=Medium; Hardening=Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.",docs.openclaw.ai/channels
channel,googlechat,Google Chat,core/plugin-enabled,Google Chat API,service account credentials,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium,Provider/channel scoped access,Medium,Medium,"Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.","Level=medium; Scope=Provider/channel scoped access; Rotation=Medium; BlastRadius=Medium; Hardening=Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.",docs.openclaw.ai/channels
channel,line,LINE,plugin,LINE Messaging API,channel token/secret,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/channels
channel,matrix,Matrix,plugin package,Matrix client-server API,token/password login,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/channels
channel,mattermost,Mattermost,plugin,Mattermost API,bot token + base URL,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/channels
channel,msteams,Microsoft Teams,plugin,Bot Framework,bot app credentials,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium,Provider/channel scoped access,Medium,Medium,"Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.","Level=medium; Scope=Provider/channel scoped access; Rotation=Medium; BlastRadius=Medium; Hardening=Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.",docs.openclaw.ai/channels
channel,nextcloud-talk,Nextcloud Talk,plugin package,Nextcloud Talk webhook,bot secret,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium,Provider/channel scoped access,Medium,Medium,"Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.","Level=medium; Scope=Provider/channel scoped access; Rotation=Medium; BlastRadius=Medium; Hardening=Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.",docs.openclaw.ai/channels
channel,nostr,Nostr,plugin package,Nostr relays,private key,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium,Provider/channel scoped access,Medium,Medium,"Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.","Level=medium; Scope=Provider/channel scoped access; Rotation=Medium; BlastRadius=Medium; Hardening=Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.",docs.openclaw.ai/channels
channel,signal,Signal,core,signal-cli bridge,linked account/session,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,high,Local account/session + host permissions,High,High,"Harden host OS, dedicated service user, strict filesystem permissions, monitor bridge processes.","Level=high; Scope=Local account/session + host permissions; Rotation=High; BlastRadius=High; Hardening=Harden host OS, dedicated service user, strict filesystem permissions, monitor bridge processes.",docs.openclaw.ai/channels
channel,slack,Slack,core,Slack API,appToken + botToken,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/channels
channel,telegram,Telegram,core,Telegram Bot API,Bot token,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/channels
channel,tlon,Tlon (Urbit),plugin,Urbit/Tlon API,URL + login code,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium,Provider/channel scoped access,Medium,Medium,"Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.","Level=medium; Scope=Provider/channel scoped access; Rotation=Medium; BlastRadius=Medium; Hardening=Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.",docs.openclaw.ai/channels
channel,twitch,Twitch,plugin,Twitch IRC/API,OAuth token,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,high,User delegated scopes / refresh tokens,Medium-High,High,"Minimize OAuth scopes, enforce re-consent/revocation playbooks, separate auth profiles per agent.","Level=high; Scope=User delegated scopes / refresh tokens; Rotation=Medium-High; BlastRadius=High; Hardening=Minimize OAuth scopes, enforce re-consent/revocation playbooks, separate auth profiles per agent.",docs.openclaw.ai/channels
channel,webchat,WebChat,core,Gateway web UI / websocket,gateway auth token/password,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/channels
channel,whatsapp,WhatsApp,core,Baileys / WhatsApp Web,QR pairing session,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,high,Persistent messaging identity/session,Medium-High,High,"Protect session files at rest, isolate host, use allowlists, and re-pair on compromise.","Level=high; Scope=Persistent messaging identity/session; Rotation=Medium-High; BlastRadius=High; Hardening=Protect session files at rest, isolate host, use allowlists, and re-pair on compromise.",docs.openclaw.ai/channels
channel,zalo,Zalo Bot API,plugin package,Zalo API,app creds/token,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/channels
channel,zalouser,Zalo Personal,plugin package,zca-cli bridge,QR session,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,high,Persistent messaging identity/session,Medium-High,High,"Protect session files at rest, isolate host, use allowlists, and re-pair on compromise.","Level=high; Scope=Persistent messaging identity/session; Rotation=Medium-High; BlastRadius=High; Hardening=Protect session files at rest, isolate host, use allowlists, and re-pair on compromise.",docs.openclaw.ai/channels
channel,imessage,iMessage (legacy),core,imsg + local Messages DB,local macOS permissions/session,OpenClaw onboarding/CLI/login flow and/or config/env,~/.openclaw/openclaw.json (+ ~/.openclaw/.env); channel/session files under $OPENCLAW_STATE_DIR (default ~/.openclaw),Gateway channel adapter uses stored creds; agent receives normalized events/messages.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests send/fetch via channel adapter; gateway executes with stored creds.,high,Local account/session + host permissions,High,High,"Harden host OS, dedicated service user, strict filesystem permissions, monitor bridge processes.","Level=high; Scope=Local account/session + host permissions; Rotation=High; BlastRadius=High; Hardening=Harden host OS, dedicated service user, strict filesystem permissions, monitor bridge processes.",docs.openclaw.ai/channels
model_provider,bedrock,Amazon Bedrock,provider docs page,LLM provider API,AWS auth,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium,Provider/channel scoped access,Medium,Medium,"Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.","Level=medium; Scope=Provider/channel scoped access; Rotation=Medium; BlastRadius=Medium; Hardening=Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,anthropic,Anthropic,built-in,LLM provider API,API key / setup-token,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,cerebras,Cerebras,built-in,LLM provider API,API key,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,glm-models,GLM Models,provider docs page,LLM provider API,provider auth,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium,Provider/channel scoped access,Medium,Medium,"Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.","Level=medium; Scope=Provider/channel scoped access; Rotation=Medium; BlastRadius=Medium; Hardening=Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,github-copilot,GitHub Copilot,built-in,LLM provider API,token,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,google-antigravity,Google Antigravity,built-in + bundled auth plugin,LLM provider API,OAuth login,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,high,User delegated scopes / refresh tokens,Medium-High,High,"Minimize OAuth scopes, enforce re-consent/revocation playbooks, separate auth profiles per agent.","Level=high; Scope=User delegated scopes / refresh tokens; Rotation=Medium-High; BlastRadius=High; Hardening=Minimize OAuth scopes, enforce re-consent/revocation playbooks, separate auth profiles per agent.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,google,Google Gemini,built-in,LLM provider API,API key,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium-high,Service/account API scope,Medium,Medium-High,"Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.","Level=medium-high; Scope=Service/account API scope; Rotation=Medium; BlastRadius=Medium-High; Hardening=Issue dedicated keys per integration, set spend/rate limits, rotate keys regularly.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,google-gemini-cli,Google Gemini CLI,built-in + bundled auth plugin,LLM provider API,OAuth login,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,high,User delegated scopes / refresh tokens,Medium-High,High,"Minimize OAuth scopes, enforce re-consent/revocation playbooks, separate auth profiles per agent.","Level=high; Scope=User delegated scopes / refresh tokens; Rotation=Medium-High; BlastRadius=High; Hardening=Minimize OAuth scopes, enforce re-consent/revocation playbooks, separate auth profiles per agent.",docs.openclaw.ai/concepts/model-providers + provider pages
model_provider,google-vertex,Google Vertex,built-in,LLM provider API,ADC / gcloud auth,OpenClaw onboard / models auth / env-config,API keys in ~/.openclaw/openclaw.json (+ ~/.openclaw/.env); OAuth/session tokens in ~/.openclaw/agents/<agentId>/agent/auth-profiles.json,Agent selects model refs; runtime resolves provider creds internally.,Agent invokes gateway/channel adapter operations; adapter handles external calls with stored creds.,Agent requests generation; runtime signs upstream calls with stored creds.,medium,Provider/channel scoped access,Medium,Medium,"Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.","Level=medium; Scope=Provider/channel scoped access; Rotation=Medium; BlastRadius=Medium; Hardening=Use least-privilege credentials, isolate per integration, rotate every 60–90 days, enable audit logs, and restrict host/network access.",docs.openclaw.ai/concepts/model-providers + provider pages
